restaurant_id,restaurant_name,dish_name,dish_desc,price,num_purchases,num_likes,num_dislikes,restaurant_district,restaurant_city,restaurant_rating,num_ratings,restaurant_type,city_id,Latitude,Longitude,avg_price,uuid
4740,GUTA CAFE - 107H Trương Định,Trà sữa olong  kem cheese,,40000,0,0,0,Quận 3,Thành phố Hồ Chí Minh,4.8,59,Cà Phê/Trà,189,10.778679847717283,106.6885986328125,45000,933842e1-7935-4859-9db5-46d04dbea1b9
6608,Sinh Tố Tao Đàn - Nguyễn Hữu Cảnh,Cookie Đá Xay,,45000,22,0,0,Quận Bình Thạnh,Hồ Chí Minh,4.8,224,Sinh tố/Nước ép/Sữa,189,10.788869857788086,106.70982360839844,45000,e3e516fa-eb7c-499a-afaf-c06ec34957ae
15398,Juice Me - Sinh Tố Nước Ép Trái Cây - Cống Quỳnh,Summer Drink,"Nước Ép Dưa Hấu - Chanh Dây - Bạc Hà (Watermelon, Passion Fruit, Mint).Nguyên Chất 100% - Không đường - Không đá - Không pha nước (No Sugar - No Ice)",49000,40,0,0,Quận 1,Hồ Chí Minh,4.8,560,Sinh tố/Nước ép/Sữa,189,10.765609741210938,106.68982696533205,49000,d1069c5c-fcde-458a-b02c-8b0141a10a0f
4283,The Coffee Factory - Trương Định,TRÀ OOLONG THƠM,,42000,0,0,0,Quận 3,Hồ Chí Minh,5.0,32,Cà Phê/Trà,189,10.778249740600586,106.68907165527344,42000,af543294-982a-4c3e-bfb4-be0f0c7afa30
6608,Sinh Tố Tao Đàn - Nguyễn Hữu Cảnh,Cà Phê Sữa Pha Máy,,30000,12,0,0,Quận Bình Thạnh,Hồ Chí Minh,4.8,224,Sinh tố/Nước ép/Sữa,189,10.788869857788086,106.70982360839844,45000,b58d028a-8511-4f28-9112-d618d601c5b5
6621,Sinh Tố Tao Đàn - Võ Văn Tần,Ép Cà Rốt,,35000,43,2,0,quận 3,Hồ Chí Minh,4.9,773,Sinh tố/Nước ép/Sữa,189,10.772480010986328,106.686767578125,45000,b7aead5d-1187-4a86-acf5-56dcc36345ad
7722,Bros Milk Tea - Lê Thị Riêng,Trà chanh bí đao (M)/Lemon winter melon tea,Món chưa bao gồm topping,35000,4,0,0,Quận 1,Hồ Chí Minh,5.0,465,Trà sữa,189,10.771380424499512,106.69239044189452,42000,ea91b79c-64e3-4504-ae1f-8dcd63582dec
30131,Trung Nguyên - E-Coffee - Võ Văn Tần,Trà Vải,,35000,0,0,0,Quận 3,Hồ Chí Minh,4.8,40,Cà Phê/Trà,189,10.777999877929688,106.69181823730467,30000,d1bbabbe-945e-4892-87f8-86d5512c8bdf
29034,Cafe Tonkin Cottage - Lý Tự Trọng,Trà chanh hoa lài Hà Nội,Một góc chợ Gạo mùa hè Hà Nội gói gọn trong một ly trà chanh đậm vị và ngát hương lài.,39000,6,0,0,Quận 1,Hồ Chí Minh,4.7,60,Cà Phê/Trà,189,10.77439022064209,106.69789123535156,49000,f334f4a8-38b8-4115-856f-ddc6baa04d61
8207,Tiệm Trà Túi Nâu - Nguyễn Khắc Nhu,Trà Sữa Hoa Nhài,Topping trân châu trắng,32000,171,3,0,Quận 1,TP. Hồ Chí Minh,4.9,278,Cà Phê/Trà,189,10.76356029510498,106.69287872314452,37000,386e2973-92df-45a4-91f8-5c8cbfe49bf9
7722,Bros Milk Tea - Lê Thị Riêng,Cà phê đen Đà Lạt (L)/Dalat black coffee,Món chưa bao gồm topping,29000,2,0,0,Quận 1,Hồ Chí Minh,5.0,465,Trà sữa,189,10.771380424499512,106.69239044189452,42000,588ffb18-56e5-4e28-acaa-9eb8f24745c5
10980,Nina - Sinh Tố Bùi Viện - Bùi Viện,St CAM  +THƠM,ST CHỈ DÙNG * SỮA ĐẶC * ( KO DÙNG ĐƯỜNG),48000,1,0,0,Quận 1,Hồ Chí Minh,4.7,69,Sinh tố/Nước ép/Sữa,189,10.767149925231934,106.6929168701172,40000,72d924d0-c0de-42c3-841f-55931d2c1d14
499,Miki - Nước Ép & Trà Sữa - Trường Sa,Nước ép sơ ri lê,Acerola cherry with pear juice,40000,0,0,0,Quận 3,Hồ Chí Minh,4.6,11,Sinh tố/Nước ép/Sữa,189,10.785269737243652,106.68052673339844,40000,98327823-eae7-4338-ab72-c903d865bd45
9340,Th'not - Thốt Nốt Sốt Trái Cây,COMBO NO CĂNG,[Thông báo: Từ 01/05/2024 quán chỉ bán duy nhất ly lớn] Combo gồm: 1 ly sữa chua dầm thốt nốt và 1 phần bánh bò thốt nốt. Quý khách có thể tuỳ chọn loại nước và bánh theo ý thích.,69000,5,0,0,Quận 3,Hồ Chí Minh,4.8,99,Sinh tố/Nước ép/Sữa,189,10.77468967437744,106.6823272705078,55000,0f7a046e-46a4-4db5-8f0c-2809fd46bb23
122,CAFECUB - Cà Phê & Trà Trái Cây Tươi - Vĩnh Hội,Trà Sữa Thái Xanh,"Trà sữa xanh Thái Lan, đặc biệt thơm ngon, mùi vị đặc trưng quyến rũ",29000,78,1,0,Quận 4,Hồ Chí Minh,4.9,766,Cà Phê/Trà,189,10.756150245666504,106.70226287841795,39000,0b298bde-9ec7-48f0-b742-ec056e72c584
25555,Nâu Đá Cà Phê - Cống Quỳnh,Phúc Bồn Tử Yogurt Shake,,55000,0,0,0,Quận 1,Hồ Chí Minh,4.5,17,Cà Phê/Trà,189,10.763469696044922,106.69065856933594,55000,a43ec390-0abc-4ceb-8bea-57abe9847a20
30131,Trung Nguyên - E-Coffee - Võ Văn Tần,Cam,,25000,6,0,0,Quận 3,Hồ Chí Minh,4.8,40,Cà Phê/Trà,189,10.777999877929688,106.69181823730467,30000,3e432d80-39d3-4900-be73-f903c26d8fa8
28560,Thức Coffee - 40D Lý Tự Trọng,Banana chocolate,Thức uống không thể điều chỉnh độ ngọt về 0%,59000,9,0,0,Quận 1,Hồ Chí Minh,4.8,75,Cà Phê/Trà,189,10.777130126953123,106.7001495361328,55000,5acb538b-fc5f-4adc-86cd-588e401273a2
13179,Rau Má & Nước Ép Tony - Đoàn Văn Bơ,Sinh tố dâu thơm,,35000,4,0,0,Quận 4,Hồ Chí Minh,4.9,98,Sinh tố/Nước ép/Sữa,189,10.758819580078123,106.71114349365234,35000,3cabcd7c-170a-433b-99ba-0731c099af70
13853,Núp Coffee & Tea - Trường Sa,Trà Chanh Thái Đỏ Nha Đam - Ly 700ml,,45000,199,5,0,Quận 3,Thành phố Hồ Chí Minh,4.9,2699,Cà Phê/Trà,189,10.785189628601074,106.68038177490234,39000,d073e7f9-d19d-4867-8f71-8eb2931f003b
6608,Sinh Tố Tao Đàn - Nguyễn Hữu Cảnh,Sữa chua Việt Quất,Đá Riêng,38000,20,0,0,Quận Bình Thạnh,Hồ Chí Minh,4.8,224,Sinh tố/Nước ép/Sữa,189,10.788869857788086,106.70982360839844,45000,e9508f09-413a-41e4-b538-ffa03034c0b9
27790,Su Nguyễn Food and Drink - Trần Hưng Đạo,Dưa gang chấm đường,300gr - 350gr ,52000,3,0,0,Quận 1,Hồ Chí Minh,4.7,20,Sinh tố/Nước ép/Sữa,189,10.757980346679688,106.68768310546876,69000,8b5a50a2-4535-4d67-98df-d65584e9ae48
80,Sinh Tố Tao Đàn - Hoàng Sa,Ép Cam Ổi Đóng Chai,Đóng chai không đá,45000,12,0,0,quận 1,Hồ Chí Minh,4.8,660,Sinh tố/Nước ép/Sữa,189,10.79304027557373,106.69918823242188,45000,dafa8101-366f-475c-936e-b7c73336e11a
7631, Nước ép Mi Mi - Hùng Vương,Dâu Mix Cà Rốt,,35000,0,0,0,Quận 10,Hồ Chí Minh,4.9,152,Sinh tố/Nước ép/Sữa,189,10.764010429382324,106.67684936523438,27000,b68017c4-66f1-4d4c-8fe5-b51dec650464
13853,Núp Coffee & Tea - Trường Sa,Sữa Tươi Đường Đen Sương Sáo,,35000,54,4,0,Quận 3,Thành phố Hồ Chí Minh,4.9,2699,Cà Phê/Trà,189,10.785189628601074,106.68038177490234,39000,fce2f01a-c2f9-4720-9080-ca4d422a5f71
7503,Tui Bán Trà - Tiệm Trà Chanh Hong Kong - Nguyễn Thượng Hiền,Lục Trà Vải,,35000,5,0,0,quận 3,thành phố Hồ Chí Minh,4.9,48,Trà sữa,189,10.774530410766602,106.68380737304688,35000,9c1ea618-0507-4d5a-a90c-8f86574245f4
25585,Rarities Coffee Brewery - Hòa Hưng,Cold Brew Longan Osmanthus,"Cà phê ủ lạnh Nhãn Hoa Mộc Tê. Sản phẩm có Độ ngọt nhất định, không thể làm KHÔNG NGỌT.",55000,6,0,0,Quận 10,Hồ Chí Minh,5.0,29,Cà Phê/Trà,189,10.780110359191896,106.67637634277344,55000,90019781-7ef2-4017-b921-09a4bc7c29b6
30131,Trung Nguyên - E-Coffee - Võ Văn Tần,Latte Nóng,Hot Latte,35000,1,0,0,Quận 3,Hồ Chí Minh,4.8,40,Cà Phê/Trà,189,10.777999877929688,106.69181823730467,30000,c448aed3-705c-4d10-89d0-ccc6321df715
542,Nước Ép Số 2 - Nguyễn Thượng Hiền,Sữa đậu nành - nấu lá dứa,,20000,0,0,0,Quận 3,Thành Phố Hồ Chí Minh,5.0,5,Sinh tố/Nước ép/Sữa,189,10.770560264587402,106.68636322021484,35000,fad9ce27-a05c-495d-a262-d1ab3f957b1e
22959,The Black Tea - Nguyễn Thị Minh Khai ,Trà Trái Cây Nhiệt Đới / Tropical Paradise Tea,Trà xanh hoa nhài kết hợp vừa vặn cùng hoa quả vùng nhiệt đới,45000,14,1,0,Quận 1,Hồ Chí Minh,4.8,79,Cà Phê/Trà,189,10.78617000579834,106.69889831542967,33000,7f3ba3c2-64be-4830-9a5b-e419d1bfb4ac
13853,Núp Coffee & Tea - Trường Sa,Trà Thái Đỏ Latte - Ly 700ml,"Trà thái đỏ kết hợp với sữa tươi, vị béo thanh nhẹ nhưng vẫn đậm vị trà, giá bán chưa bao gồm topping.",35000,132,5,0,Quận 3,Thành phố Hồ Chí Minh,4.9,2699,Cà Phê/Trà,189,10.785189628601074,106.68038177490234,39000,99cbfe98-8302-4fc0-b933-b8872d1ba36b
30541,Nước Ép 100 Vị - Nguyễn Đình Chiểu,Thơm - Cà Chua - Sơ Ri - Cà Rốt,,36000,7,0,0,Quận 3,Hồ Chí Minh,4.9,1061,Sinh tố/Nước ép/Sữa,189,10.769889831542969,106.68174743652344,36000,c682d8c1-0c33-491e-859c-19ba48d9e63c
499,Miki - Nước Ép & Trà Sữa - Trường Sa,Matcha kem cheese,Matcha cheese creamy,55000,5,0,0,Quận 3,Hồ Chí Minh,4.6,11,Sinh tố/Nước ép/Sữa,189,10.785269737243652,106.68052673339844,40000,4b7b89da-6fcd-41c3-ad41-fd473bdd8d9b
7722,Bros Milk Tea - Lê Thị Riêng,Lục trà sữa tươi (M)/Green tea latte,Món chưa bao gồm topping,40000,4,0,0,Quận 1,Hồ Chí Minh,5.0,465,Trà sữa,189,10.771380424499512,106.69239044189452,42000,61217083-f2ce-4010-bdb7-184e2954301f
80,Sinh Tố Tao Đàn - Hoàng Sa,Ép Cam,,35000,132,0,0,quận 1,Hồ Chí Minh,4.8,660,Sinh tố/Nước ép/Sữa,189,10.79304027557373,106.69918823242188,45000,86051600-f765-4054-bb7b-2e766581e4f5
4842, Rau Má Mix - A58 Nguyễn Trãi,Nước ép Dưa Hấu Tươi,Dưa hấu cung cấp Vitamin A & C giúp giải nhiệt và hỗ trợ đào thải độc tố.,28000,52,0,0,Quận 1,Hồ Chí Minh,4.9,1438,Sinh tố/Nước ép/Sữa,189,10.765939712524414,106.68788146972656,31000,2f432a31-09fc-4d7a-888d-0713f937cc15
10980,Nina - Sinh Tố Bùi Viện - Bùi Viện,Nước Ép TÁO. - CÀ RỐT,,40000,0,0,0,Quận 1,Hồ Chí Minh,4.7,69,Sinh tố/Nước ép/Sữa,189,10.767149925231934,106.6929168701172,40000,ceed4bec-d4b4-4ed0-817b-2177ff6697c2
